Disease,Gender,symptoms,Cure
Gout,male,"joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,swelling,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,swelling,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,redness,swelling,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,joint pain,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,joint pain,swelling,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,redness,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,swelling,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,redness,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,redness,heat in the affected joint,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,heat in the affected joint,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,heat in the affected joint,redness,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"heat in the affected joint,swelling,joint pain,redness","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,joint pain,swelling","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"joint pain,swelling,redness,heat in the affected joint","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"redness,swelling,heat in the affected joint,joint pain","Anti-inflammatory medications, ice, dietary changes"
Gout,male,"swelling,joint pain,heat in the affected joint,redness","Anti-inflammatory medications, ice, dietary changes"
Hypotension,male,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,blurred vision,fainting,nausea","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,fainting,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,blurred vision,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,male,"nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,fainting,nausea","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,male,"fainting,nausea,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,fainting,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,fainting,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"fainting,nausea,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"fainting,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,male,"nausea,fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,blurred vision,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,male,"nausea,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"fainting,dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"fainting,nausea,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,fainting,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"fainting,nausea,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,male,"dizziness,nausea,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,male,"blurred vision,dizziness,fainting,nausea","Increased salt intake, compression stockings"
Hypotension,male,"fainting,blurred vision,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,male,"nausea,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"fainting,blurred vision,nausea,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,fainting,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,dizziness,fainting,nausea","Increased salt intake, compression stockings"
Hypotension,female,"fainting,dizziness,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"fainting,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,fainting,nausea","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"fainting,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,female,"fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"nausea,dizziness,fainting,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,nausea,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"fainting,dizziness,blurred vision,nausea","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,fainting,nausea,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,female,"nausea,dizziness,fainting","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"nausea,dizziness,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,dizziness,blurred vision","Increased salt intake, compression stockings"
Hypotension,female,"blurred vision,fainting,dizziness,nausea","Increased salt intake, compression stockings"
Hypotension,female,"nausea,fainting,blurred vision,dizziness","Increased salt intake, compression stockings"
Hypotension,female,"dizziness,nausea,blurred vision,fainting","Increased salt intake, compression stockings"
Hypotension,female,"nausea,blurred vision,dizziness,fainting","Increased salt intake, compression stockings"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,male,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,male,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,waking up during night,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Insomnia,female,"daytime fatigue,difficulty falling asleep,waking up during night","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,difficulty falling asleep,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,daytime fatigue,waking up during night","Behavioral therapy, medications"
Insomnia,female,"difficulty falling asleep,waking up during night,daytime fatigue","Behavioral therapy, medications"
Insomnia,female,"waking up during night,daytime fatigue,difficulty falling asleep","Behavioral therapy, medications"
Knee Osteoarthritis,male,"stiffness,loss of flexibility,swelling,knee pain","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"knee pain,stiffness,swelling","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"stiffness,loss of flexibility,swelling","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"swelling,loss of flexibility,stiffness,knee pain","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"knee pain,loss of flexibility,stiffness","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"loss of flexibility,stiffness,swelling,knee pain","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"swelling,stiffness,knee pain,loss of flexibility","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"stiffness,knee pain,loss of flexibility","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"loss of flexibility,stiffness,swelling","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"knee pain,swelling,loss of flexibility","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"stiffness,loss of flexibility,swelling","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"swelling,stiffness,knee pain,loss of flexibility","Physical therapy, pain relievers, knee replacement surgery"
Knee Osteoarthritis,male,"knee pain,swelling,loss of flexibility","Physical therapy, pain relievers, knee replacement surgery"
